# Sensor: Sensor Node loads [Node TW_1 | Tubular tower]      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:37:15      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      4      	      5      	      6      	      
Time [s]      	Gravity load - material (1129) (mag.)      [    k N      ]      	Gravity load - material (1129) (sign)      [    k N      ]      	Gravity load - material (1129)     .x      [    k N      ]      	Gravity load - material (1129)     .y      [    k N      ]      	Gravity load - material (1129)     .z      [    k N      ]      
----------	----------	----------	----------	----------	----------      
    Min      	1.56117 [100.05s]      	-1.56117 [100.05s]      	      0 [100.05s]      	      0 [100.05s]      	-1.56117 [100.05s]      
    Max      	1.56117 [100.05s]      	-1.56117 [100.05s]      	      0 [100.05s]      	      0 [100.05s]      	-1.56117 [100.05s]      
    6.3      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   6.35      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    6.4      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   6.45      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    6.5      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   6.55      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    6.6      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   6.65      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    6.7      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   6.75      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    6.8      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   6.85      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    6.9      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   6.95      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
      7      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   7.05      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    7.1      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   7.15      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    7.2      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   7.25      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    7.3      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   7.35      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    7.4      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   7.45      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    7.5      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   7.55      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    7.6      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   7.65      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    7.7      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   7.75      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    7.8      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   7.85      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    7.9      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   7.95      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
      8      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   8.05      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    8.1      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   8.15      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    8.2      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   8.25      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    8.3      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   8.35      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    8.4      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   8.45      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    8.5      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   8.55      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    8.6      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   8.65      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    8.7      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   8.75      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    8.8      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   8.85      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    8.9      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   8.95      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
      9      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   9.05      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    9.1      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   9.15      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    9.2      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   9.25      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    9.3      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   9.35      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    9.4      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   9.45      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    9.5      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   9.55      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    9.6      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   9.65      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    9.7      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   9.75      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    9.8      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   9.85      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    9.9      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   9.95      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
     10      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  10.05      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   10.1      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  10.15      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   10.2      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  10.25      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   10.3      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  10.35      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   10.4      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  10.45      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   10.5      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  10.55      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   10.6      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  10.65      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   10.7      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  10.75      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   10.8      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  10.85      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   10.9      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  10.95      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
     11      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  11.05      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   11.1      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  11.15      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   11.2      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  11.25      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   11.3      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  11.35      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   11.4      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  11.45      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   11.5      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  11.55      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   11.6      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  11.65      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   11.7      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  11.75      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
